Plate,State,License Type,Issue Date,Violation Time,Violation,Payment Amount,Precinct,County
JNS2120,NY,PAS,2021-01-29,11:53A,NO PARKING-STREET CLEANING,65.0,60.0,K
DGC8232,NY,PAS,2021-03-11,02:05A,NO PARKING-STREET CLEANING,0.0,72.0,K
97TP45,NY,MOT,2021-03-12,12:02P,NO PARKING-STREET CLEANING,65.0,72.0,K
AMA8642,NY,PAS,2021-03-12,12:41P,NO PARKING-STREET CLEANING,65.0,72.0,K
GVJ1411,NY,PAS,2021-01-15,11:15A,NO PARKING-STREET CLEANING,65.0,63.0,K
BPKP44,FL,PAS,2021-01-28,11:45A,NO PARKING-STREET CLEANING,65.0,63.0,K
KWS7454,PA,PAS,2021-03-11,08:40A,NO PARKING-STREET CLEANING,65.0,69.0,K
JEN8322,NY,PAS,2021-03-11,12:41P,NO PARKING-STREET CLEANING,65.0,69.0,K
DGN6429,NY,PAS,2021-03-11,11:40A,NO PARKING-STREET CLEANING,65.0,69.0,K
07958CH,ME,PAS,2021-05-13,09:05A,NO PARKING-DAY/TIME LIMITS,65.0,13.0,NY
JEF7621,NY,PAS,2021-03-10,07:49A,NO PARKING-STREET CLEANING,65.0,69.0,K
JBG1304,NY,PAS,2021-03-12,11:42A,NO PARKING-STREET CLEANING,65.0,72.0,K
HTE2140,NY,PAS,2021-03-03,10:06A,NO PARKING-STREET CLEANING,65.0,72.0,K
JGM9202,NY,PAS,2021-03-01,09:45A,NO PARKING-STREET CLEANING,65.0,72.0,K
T5W433,NY,PAS,2021-03-11,12:15P,NO PARKING-STREET CLEANING,65.0,62.0,K
87235MJ,NY,COM,2021-02-25,07:22A,NO PARKING-STREET CLEANING,0.0,6.0,NY
07958CH,CT,PAS,2021-05-14,08:10A,NO PARKING-DAY/TIME LIMITS,65.0,13.0,NY
L28HLD,NJ,PAS,2021-05-14,02:50A,BIKE LANE,115.0,6.0,NY
MD88841,NY,PAS,2021-04-13,08:20A,NO STANDING-EXC. AUTH. VEHICLE,95.0,13.0,
DFS4786,NY,PAS,2021-04-19,08:59P,OBSTRUCTING DRIVEWAY,95.0,70.0,K
100M1045,NY,OMT,2021-03-05,07:35A,NO PARKING-STREET CLEANING,65.0,62.0,K
GDL4175,NY,PAS,2021-01-28,11:43A,NO PARKING-STREET CLEANING,65.0,62.0,K
KFX6900,NY,PAS,2021-02-22,10:07A,NO PARKING-STREET CLEANING,65.0,68.0,K
FJB6158,NY,PAS,2021-05-14,08:18A,NO PARKING-DAY/TIME LIMITS,65.0,13.0,NY
EFH8917,NY,PAS,2021-05-15,08:21P,FIRE HYDRANT,115.0,7.0,NY
KHP1048,NY,PAS,2021-05-13,11:05A,NO PARKING-DAY/TIME LIMITS,65.0,13.0,NY
BMT8917,NY,PAS,2021-04-06,06:26P,DOUBLE PARKING,115.0,45.0,BX
G96JTV,NJ,PAS,2021-04-06,12:43P,FAIL TO DSPLY MUNI METER RECPT,65.0,13.0,
FML1613,NY,PAS,2021-01-29,03:17P,INSP. STICKER-EXPIRED/MISSING,0.0,104.0,Q
CC411M,NY,PAS,2021-01-31,08:37A,NO PARKING-DAY/TIME LIMITS,0.0,103.0,Q
INQ045,OK,PAS,2021-01-29,02:39P,BIKE LANE,0.0,33.0,NY
GDL9794,NY,PAS,2021-01-21,11:59A,NO PARKING-STREET CLEANING,0.0,62.0,K
KHH5685,NY,PAS,2021-03-09,11:18A,NO PARKING-STREET CLEANING,65.0,69.0,K
RVB0779,GA,PAS,2021-02-27,07:41A,NO PARKING-STREET CLEANING,65.0,110.0,Q
JKA5615,NY,PAS,2021-03-09,09:19A,NO PARKING-STREET CLEANING,65.0,110.0,Q
WHC9Y,FL,PAS,2021-03-04,09:27A,NO PARKING-STREET CLEANING,65.0,110.0,Q
JPR1741,NY,PAS,2021-03-04,10:05A,NO PARKING-STREET CLEANING,65.0,104.0,Q
827208R,NJ,PAS,2021-03-09,08:40A,NO PARKING-STREET CLEANING,65.0,102.0,Q
KEF6840,NY,PAS,2021-03-15,12:22P,NO PARKING-STREET CLEANING,65.0,108.0,Q
W22NDB,NJ,PAS,2021-03-09,11:20A,NO PARKING-STREET CLEANING,65.0,104.0,Q
JNL2474,NY,PAS,2021-03-09,08:39A,NO PARKING-STREET CLEANING,65.0,112.0,Q
P13JKS,NJ,PAS,2021-01-28,11:52A,NO PARKING-STREET CLEANING,0.0,114.0,Q
JPR6591,NY,PAS,2021-02-16,08:48A,NO PARKING-STREET CLEANING,65.0,114.0,Q
GLB8232,NY,PAS,2021-03-11,10:40A,NO PARKING-STREET CLEANING,65.0,102.0,Q
KHF9365,NY,PAS,2021-02-25,08:40A,NO PARKING-STREET CLEANING,65.0,114.0,Q
KES2346,NY,PAS,2021-01-29,11:36A,NO PARKING-STREET CLEANING,65.0,108.0,Q
KGC7302,NY,PAS,2021-03-11,08:10A,NO PARKING-STREET CLEANING,65.0,112.0,Q
T612347C,NY,OMT,2021-03-04,11:43A,NO PARKING-STREET CLEANING,65.0,115.0,Q
KGW8220,NY,PAS,2021-03-03,09:39A,NO PARKING-STREET CLEANING,65.0,115.0,Q
T689764C,NY,999,2021-03-10,11:13A,NO PARKING-STREET CLEANING,65.0,108.0,Q
JKZ7913,NY,PAS,2021-01-14,00:54A,NO PARKING-STREET CLEANING,0.0,63.0,K
KDV3462,NY,PAS,2021-03-15,07:40A,NO PARKING-STREET CLEANING,65.0,108.0,Q
FBL1103,NY,PAS,2021-03-11,08:25A,NO PARKING-STREET CLEANING,65.0,114.0,Q
FBL1103,NY,PAS,2021-03-12,08:16A,NO PARKING-STREET CLEANING,65.0,114.0,Q
KHP4118,NY,PAS,2021-02-11,11:25P,OBSTRUCTING DRIVEWAY,95.0,102.0,Q
HUW5334,NY,PAS,2021-01-14,01:30A,NO PARKING-STREET CLEANING,0.0,63.0,K
JAF3622,NY,PAS,2021-01-16,02:53A,FIRE HYDRANT,0.0,68.0,K
2359407,IN,PAS,2021-03-05,11:30P,DOUBLE PARKING,0.0,102.0,Q
KKD8129,NY,PAS,2021-01-22,08:45A,FIRE HYDRANT,115.0,102.0,Q
KEK1696,NY,PAS,2021-02-28,03:05P,OBSTRUCTING DRIVEWAY,95.0,102.0,Q
HCY4992,NY,PAS,2021-02-04,12:03P,OBSTRUCTING DRIVEWAY,95.0,102.0,Q
KJN7225,NY,PAS,2021-03-12,07:28P,SIDEWALK,115.0,105.0,Q
ZHU168,RI,PAS,2021-01-21,09:29P,FIRE HYDRANT,0.0,68.0,K
HGJ6612,NY,PAS,2021-01-21,10:50P,REG. STICKER-EXPIRED/MISSING,0.0,68.0,K
AF61350,PA,PAS,2021-03-02,10:42A,NO STANDING-DAY/TIME LIMITS,115.0,90.0,K
GXR5958,NY,PAS,2021-03-13,08:52A,NO PARKING-STREET CLEANING,65.0,26.0,NY
KEZ5773,NY,PAS,2021-01-06,00:49A,NO STANDING-BUS STOP,0.0,77.0,K
JPR2989,NY,PAS,2021-01-06,01:16A,SIDEWALK,0.0,77.0,K
T792512C,NY,OMT,2021-01-24,01:37A,NO PARKING-DAY/TIME LIMITS,0.0,62.0,K
3BJR,NY,PAS,2021-11-02,08:20A,OBSTRUCTING DRIVEWAY,95.0,72.0,K
HGJ6612,NY,PAS,2021-01-21,10:51P,INSP. STICKER-EXPIRED/MISSING,0.0,68.0,K
HKB2570,NY,PAS,2021-03-12,11:29A,NO PARKING-STREET CLEANING,65.0,26.0,NY
H44KBF,NJ,PAS,2021-01-21,01:11P,NO PARKING-DAY/TIME LIMITS,0.0,25.0,NY
KFL6178,NY,PAS,2021-01-25,01:26P,FAIL TO DSPLY MUNI METER RECPT,0.0,28.0,NY
GWF8431,NY,PAS,2021-03-11,11:36A,NO PARKING-STREET CLEANING,65.0,23.0,NY
AES4962,NY,PAS,2021-03-11,10:43A,NO PARKING-STREET CLEANING,65.0,23.0,NY
CTTK13,FL,PAS,2021-01-16,07:49A,NO PARKING-STREET CLEANING,65.0,34.0,NY
CTBY14,FL,PAS,2021-01-25,08:40A,NO PARKING-STREET CLEANING,65.0,34.0,NY
IU697,RI,PAS,2021-01-22,09:07A,NO PARKING-STREET CLEANING,65.0,34.0,NY
V925951,NJ,PAS,2021-05-16,01:48P,SIDEWALK,115.0,49.0,BX
GXB3015,NY,PAS,2021-03-13,07:35A,NO PARKING-STREET CLEANING,65.0,33.0,NY
HDF3210,NY,PAS,2021-03-04,09:15A,NO PARKING-STREET CLEANING,65.0,23.0,NY
HHG4615,NY,PAS,2021-03-04,09:15A,NO PARKING-STREET CLEANING,65.0,23.0,NY
HDJ5292,PA,PAS,2021-03-12,09:36A,NO PARKING-STREET CLEANING,65.0,6.0,NY
KFP4488,NY,PAS,2021-03-11,01:48A,NO PARKING-STREET CLEANING,65.0,90.0,K
KHM9357,NY,PAS,2021-03-04,07:39A,NO PARKING-STREET CLEANING,65.0,94.0,K
HNN4278,NY,PAS,2021-03-15,07:52A,NO PARKING-STREET CLEANING,65.0,90.0,K
ZCB7652,PA,PAS,2021-03-04,11:55A,NO PARKING-STREET CLEANING,65.0,77.0,K
HSE4707,NY,PAS,2021-03-12,08:45A,NO PARKING-STREET CLEANING,65.0,81.0,K
HXD3571,NY,PAS,2021-03-04,09:21A,NO PARKING-STREET CLEANING,65.0,77.0,K
JJT1936,NY,PAS,2021-03-11,08:46A,NO PARKING-STREET CLEANING,65.0,77.0,K
KED6335,NY,PAS,2021-03-11,08:47A,NO PARKING-STREET CLEANING,65.0,77.0,K
DGB2688,NY,PAS,2021-03-11,08:48A,NO PARKING-STREET CLEANING,65.0,77.0,K
GJR4466,PA,PAS,2021-03-11,09:04A,NO PARKING-STREET CLEANING,65.0,77.0,K
74429MK,NY,COM,2021-03-05,11:40A,NO PARKING-STREET CLEANING,65.0,77.0,K
JBT4805,NY,PAS,2021-03-05,08:45A,NO PARKING-STREET CLEANING,65.0,79.0,K
JMJ2221,NY,PAS,2021-03-11,03:29A,NO PARKING-STREET CLEANING,65.0,75.0,K
HHJ3864,NY,PAS,2021-02-24,11:53A,NO PARKING-STREET CLEANING,65.0,75.0,K
KEW5095,NY,PAS,2021-01-29,07:49A,NO PARKING-STREET CLEANING,65.0,75.0,K
KDE315,NY,PAS,2021-03-12,08:07A,NO PARKING-STREET CLEANING,65.0,83.0,K
JPW1771,NY,PAS,2021-03-11,09:05A,NO PARKING-STREET CLEANING,0.0,83.0,K
KDA1719,NY,PAS,2021-03-12,09:34A,NO PARKING-STREET CLEANING,65.0,67.0,K
GEA6011,NY,PAS,2021-03-11,08:17A,NO PARKING-STREET CLEANING,65.0,67.0,K
CPF1890,NY,PAS,2021-03-11,11:50A,NO PARKING-STREET CLEANING,65.0,67.0,K
KHA79,NY,PAS,2021-03-12,11:12A,NO PARKING-STREET CLEANING,65.0,67.0,K
